名次,球队,赛,胜,平,负,积分
1,阿尔克马尔,6,2,2,2,8
1,亨克,6,4,0,2,12
1,圣埃蒂安,6,3,3,0,12
1,布拉格斯巴达,6,4,0,2,12
1,佛罗伦萨,6,4,1,1,13
1,顿涅茨克矿工,6,6,0,0,18
1,奥斯曼利体育,6,3,1,2,10
1,阿贾克斯,6,4,2,0,14
1,沙尔克04,6,5,0,1,15
1,希腊人竞技,6,4,0,2,12
1,罗马,6,3,3,0,12
1,泽尼特,6,5,0,1,15
1,费内巴切,6,4,1,1,13
2,克拉斯诺达尔,6,2,1,3,7
2,安德莱赫特,6,3,2,1,11
2,曼联,6,4,0,2,12
2,南安普敦,6,2,2,2,8
2,久尔久,6,2,2,2,8
2,比利亚雷亚尔,6,2,3,1,9
2,苏黎世,6,1,3,2,6
2,维戈塞尔塔,6,2,3,1,9
2,邓多克,6,1,1,4,4
2,帕奥克,6,3,1,2,10
2,奥林匹亚科斯,6,2,2,2,8
2,根特,6,2,2,2,8
2,维也纳快速,6,1,3,2,6
2,毕尔巴鄂竞技,6,3,1,2,10
3,布拉加,6,1,3,2,6
3,标准列日,6,1,4,1,7
3,比尔森,6,1,3,2,6
3,伯尔尼年轻人,6,2,2,2,8
3,萨尔茨堡红牛,6,2,1,3,7
3,贝尔谢巴,6,2,2,2,8
3,国际米兰,6,2,0,4,6
3,卡拉巴赫,6,2,1,3,7
3,美因茨,6,2,3,1,9
3,特拉维夫马卡比,6,2,1,3,7
3,费耶诺德,6,2,1,3,7
3,萨索洛,6,1,2,3,5
4,奥地利维也纳,6,1,2,3,5
4,阿斯塔纳,6,1,2,3,5
4,帕纳辛纳科斯,6,0,1,5,1
4,科尼亚运动,6,0,1,5,1
4,布加勒斯特星,6,1,3,2,6
4,利贝雷茨,6,1,1,4,4
4,盖贝莱,6,0,0,6,0
4,尼斯,6,2,0,4,6
4,卢甘斯克,6,0,2,4,2
