名次,球队,赛,胜,平,负,积分
1,波尔多,6,4,1,1,13
1,费内巴切,6,4,1,1,13
1,哈尔科夫,6,4,1,1,13
1,汉诺威96,6,3,3,0,12
1,拉齐奥,6,3,3,0,12
1,亨克,6,3,3,0,12
1,比尔森,6,4,1,1,13
1,喀山鲁宾,6,4,2,0,14
1,利物浦,6,3,1,2,10
1,第聂伯,6,5,0,1,15
1,里昂,6,5,1,0,16
1,布加勒斯特星,6,3,2,1,11
2,勒沃库森,6,4,1,1,13
2,门兴,6,3,2,1,11
2,安郅,6,3,1,2,10
2,纽卡斯尔,6,2,3,1,9
2,莱万特,6,3,2,1,11
2,马德里竞技,6,4,0,2,12
2,国际米兰,6,3,2,1,11
2,布拉格斯巴达,6,2,3,1,9
2,那不勒斯,6,3,0,3,9
2,斯图加特,6,2,2,2,8
2,热刺,6,2,4,0,10
2,巴塞尔,6,2,3,1,9
3,马赛,6,1,2,3,5
3,毕尔巴鄂竞技,6,1,2,3,5
3,维迪奥顿,6,2,0,4,6
3,科英布拉大学,6,1,2,3,5
3,游击队,6,0,3,3,3
3,哥本哈根,6,2,2,2,8
3,年轻人,6,3,1,2,10
3,埃因霍温,6,2,1,3,7
3,罗森博格,6,2,0,4,6
3,帕纳辛纳科斯,6,1,2,3,5
3,马里迪莫,6,1,3,2,6
3,希尔星堡,6,1,1,4,4
4,布鲁日,6,1,1,4,4
4,莫尔德,6,2,0,4,6
4,聂夫特奇,6,0,3,3,3
4,利马索尔,6,1,1,4,4
4,乌迪内斯,6,1,1,4,4
4,里斯本竞技,6,1,2,3,5
4,特温特,6,0,4,2,4
4,索尔纳,6,1,1,4,4
4,马里博尔,6,1,1,4,4
4,SK维也纳快速,6,1,0,5,3
4,特拉维夫工人,6,1,1,4,4
4,科里亚特哈普尔,6,0,2,4,2
